XMMC,FZR,DWMC,XMJJ,XMJB,ND
全自动锚杆生产线及成套设备,白玉峰,河北晓进机械制造股份有限公司,"      针对国内锚杆生产设备发展缓慢，生产方式落后的现状，以及大部分生产厂家采用手工作坊生产带来的高成本、人员多、产量低、质量不可靠，井下生产安全隐患大等诸多问题，公司采用机、电、液、气及仪表一体化智能控制技术，自主研究开发全自动螺旋钢锚杆生产工艺及成套设备，从上料集料系统→校直系统→定长裁断系统→定长斜角裁断系统→缩径系统→滚丝系统→冲扣系统→中频加热系统→轧扁系统→麻花扭结系统→打码防伪系统→托盘螺母旋装系统→产品检测系统系统→钻孔栽销系统→喷漆烘干系统→整理捆扎系统→自动计数码垛入库完成，实现了锚杆自动化、智能化、高效率的生产工艺，从而提高了锚杆生产效率，降低劳动成本，提高产品质量，进而提高锚杆自动化生产线的市场份额，很大程度推动了锚杆自动化生产工艺的发展。
    本项目技术具有完全自主知识产权，截止目前，该项目已获得国家授权发明专利4项，实用新型专利11项，成果水平可达到国内领先，将再申请国家实用新型专利2项。该项目达产后预计年销售10条生产线，每条生产线成本价按120万元，销售价150.00万元计算，预计新增销售额1500.00万，新增利润300.00万元，实现新增创税116.40万元。",省级,2019
冀州高新区科技服务提升项目,白云鹤,河北冀州高新技术产业开发区管理委员会,"为充分发挥科技服务业对科技创新和转型发展的支撑作用，构建符合新时代要求和创新发展需要的科技服务业体系，进一步推动冀州高新区提档升级，结合冀州高新区实际，按照省科技厅有关项目申报要求，特谋划本项目的组织实施工作。
冀州高新区前身系始建于1992年的“冀县火炬产业园区”，2016年纳入省级高新区管理序列。园区启动建设以来始终坚持产业集群化、资源集约化发展思路，着力打造转型升级引领区、科技创新示范区、对外开放窗口区。经过多年经营逐步形成了以装备制造、复合材料、医药健康等为主导产业的多层次发展局面。为进一步探讨学习科技创新在产业转型升级中的支撑推动作用，经过项目筛选审核，决定依托河北春风创业投资有限公司的春风孵化基地项目和河北思创企业孵化服务有限公司的思创医疗器械孵化器项目分别对装备制造和医药健康两大主导产业的转型升级、高质量发展进行探索推动。争取在2-3年内项目达到高起点建设、高标准运营、高水平孵化、高质量发展的预期效果。",省级,2019
3D服装智能定制生产系统及管理技术研发与应用,蔡昌弓,河北格雷服装股份有限公司,"        通过格雷公司3D服装智能定制平台，消费者使用智能手机在线自主交互式设计、实时下单，根据消费者滑的需求，直接驱动工厂智能生产。通过项目平台的搭建，引领男装个性化定制市场潮流，扩大市场份额，提高盈利能力，提升人们的穿着品质。同时可以格雷公司地处北京河北两地的优势，充分发挥北京的研发能力和河北的生产优势，形成定制生产相互协同发展的格局，响应了国家倡导的京津冀经济一体化的号召，实现北京设计、衡水生产同时协作的局面。
      项目平台建设之前完成后，能有效破解定制设计与生产沟通效率不高、传达客户意愿不准确的难题，通过网络平台体系，实现智能下单后及时生产后，可以大大提高生产力和工作效率，减少人员流动，对治理城市交通拥堵、优化城市环境都起到促进作用。",省级,2018
基于SLAM的无人机机载激光盘料仪系统的研究与设计,蔡文霞,石家庄学院,"    SLAM（Simultaneous Localization and Mapping）是实时定位和建图的英文简写，SLAM技术已广泛应用于无人车、无人机、机器人等应用场景的定位和导航，利用IMU、计算机立体视觉、激光雷达等进行多传感器数据融合，并且在线构建全局或者局部地图进行已知地图的导航定位。本项目拟将SLAM技术进行延伸，将激光雷达搭载到无人机上，利用激光雷达传感器进行Lidar-SLAM，对料场进行实时全局地图构建，将全局地图（为点云数据）导入到数据处理软件之中，利用TIN（Triangle Irregular Network,不规则三角网），再以TIN网为表面生成无缝连接的五面体（顶面为斜面，地面为平面的三棱体），由TIN网中每个三角习惯三位坐标计算每个小五面体的体积，最后累加获得整个扫面对象的体积。",省级,2018
沧州市博世知产科技咨询服务有限公司高企服务能力建设,曹金刚,沧州市博世知产科技咨询服务有限公司,将有意向办理高新技术企业资质的企业推荐进入“河北省高新技术企业后备培育库”，通过持续培育，使企业成长为符合高新技术企业认定标准的企业，从而顺利取得高新技术企业资质。,省级,2017
苦荞品种冀苦荞1号和冀苦荞2号中试与示范,曹丽霞,张家口市农业科学院,    冀苦荞1号和冀苦荞2号是张家口农业科学院从2008年引进的几个苦荞品种中，经过系统选育法选育而成的一个早熟苦荞品种和一个中熟品种，该系列品种具有高产稳产，品质好，抗性强等特点，填补了冀北无苦荞品种的空白，对产业结构调整具有很好的促进作用。2015-2017年在坝上各县区示范面积2000以上，并推广到内蒙、山西等地均表现良好，推广面积6万多亩。2018年1月8日通过专家评价，成果达到国际先进水平。现进入中试阶段，为满足产业需求，需继续扩大种植面积，现与康保品冠食品有限公司合作，预计在康保县实现10万亩左右连片种植，并通过”恋人花谷“万亩荞麦花海旅游文化节积极推动当地荞麦产业的发展。,省级,2020
数控机床群物联网智能监控预警终端设计,曹世超,邢台职业技术学院,"数控机床作为制造业的基础，必须具有高精度、高可靠性和高耐久性的特点，随着技术和需求的不断发展，为提高数控机床的运行管理和维护水平，满足现代制造业的信息化需求，将新兴物联网技术引入到数控机床群全程监控系统中，本项目研究主要内容如下：
1、基于NB-IOT的全新的窄带工业蜂窝物联网技术，通过对当前的授权频谱资源进行充分运用，直接进行网络部署，同时其消耗带宽进行有效控制。具备支持低延时敏感度、超低设备成本、低设备功耗和优化的网络架构，使得物联网数据信息交互得到有效满足。
2、采用高性能的互联型处理器ARM Cortex- M3 STM32F107系列做为核心控制器，结合多传感器采集终端，实现数控机床现场数据采集和远程数据通信。完成机械设备复杂算法计算，为远程监控与诊断提供准确可靠的实时信息，提高系统运行的整体稳定性及精度。
3、数控机床群智能终端算法优化，将采集的数控机床运行数据传送到后台数据信息系统，进行数据存储，并使用工业大数据技术实现数据分析及预测性维护。数控机床群采用蚁群优化算法对智能监控预警终端健康管理进行优化，为数控机床生产商，数控机床使用商的各种应用提供支持。",省级,2018
石家庄市科技创新服务中心公共技术服务平台,曹英超,石家庄市科技创新服务中心,本项目依托石家庄市科技创新服务中心（以下简称“科技中心”）现有孵化服务资源，通过全面提升和优化石家庄中药现代化公共服务平台（以下简称“平台”）的软硬件系统配置，围绕中医药产业发展趋势与瓶颈，开展技术需求调查，进行针对性的技术咨询、技术培训、技术开发、科技成果转化等服务，进一步提高平台在信息共享、培训服务、技术支持、项目开发及成果转让转化等方面的能力与水平，使我市乃至我省中医药企业和创新团队享受到平台的优质资源，从而真正成为创新的主体，切实推进我市乃至我省中医药产业做优做强，为“4+4”现代产业提供新的发展动力。 ,省级,2018
碳钢表面超音速火焰喷涂NiCoCrAlY/Al2O3-B4C高温固体润滑耐磨涂层的制备与性能研究,曹玉霞,唐山学院,       本项目针对大型机械所用碳钢，特别是碳钢轴在高温下的防锈、防腐、耐磨和润滑对自润滑硬质涂层的需求，采用超音速火焰喷涂技术制备先进的NiCoCrAlY/Al2O3-B4C高温抗氧化复合涂层材料。通过改变粉体组成和涂层的结构，涂层表面在使用过程中会生成一层结合强 度高，且连续、均匀的氧化物自润滑膜，从而起到防锈、防腐、耐磨和润滑的作用。 针对在超音速火焰喷涂过程中存在的粉体偏析问题，采用高压氢还原、离心喷雾造粒和固态合金化技术制备了包覆型NiCoCrAlY包覆Al2O3和B4C复合粉体。通过优化粉体组成和喷涂工艺参数优化设计，考察涂层性能与粉体组成、喷涂工艺参数之间的关系，并研究涂层的抗氧化和摩擦磨损机理。,省级,2017
EC02纯电动汽车关键技术研发,曾雷,长城汽车股份有限公司,"    EC02纯电动汽车是长城汽车基于ME平台开发的一款高续航、低电耗、高安全和高智能化的纯电动汽车。
    研究内容：该车型基于纯电动汽车ME平台，车身和内外饰全新造型开发，电气网络架构全新设计，融入小尺寸、大空间、高安全系数的设计理念。在底盘、新能源系统、电安全、网联等方面开展研究。
    产品的优点：该车型续航里程350km以上，电耗10.4kwh/100km，0～50km/h加速时间小于等于6s，最高车速大于等于102km/h
   产品市场定位：定位为未来城市移动工具，主打“智能科技、精致”主题，较欧拉R1重点提升智能科技和安全配置。车型销售区域为国内地区、日本、欧盟等国家和地区。
   目标人群：二三线城市私人为主，拓展一线城市，面向90后年轻群体；分时租赁等营运客户及企事业单位客户。
",省级,2019
基于电力物联网的分布式光伏群调/群控技术研究与应用,曾四鸣,国网河北省电力有限公司,本项目针对高比例分布式光伏接入电网调度难度大、仿真计算精度低、电能质量问题突出、缺乏精确的保护整定模型等问题，研究基于物联网技术的分布式监控系统，利用互联网+分布式光伏发电监控平台，采用大数据挖掘技术，通过采集实时运行数据和运行工况，进行分析评估，实现分布式光伏的群调/群控。研制含高比例分布式光伏的电网仿真平台，满足含高比例分布式光伏的机电-电磁混合仿真要求，实现对电网运行实际方式多运行工况的快速仿真，提升电网精细化仿真分析能力。研究配电网电压、谐波、三相不平衡等电能质量影响因素，提出综合控制措施，研制基于电力电子技术的电能质量综合控制装置并应用。研究分布式光伏在配电网不同位置发生不同类型故障时的短路特性，掌握分布式光伏系统频率、电流和电压等电气量特性及变化规律，建立分布式光伏工程化的整定计算模型。该项目可提升分布式光伏智能化控制水平，可提高发电效率和收益；实现智慧用电技术，有效支撑清洁能源的高效利用，实现就地消纳，减少弃光；对促进分布式光伏的发展、治理环境污染具有重要意义。,省级,2019
承德市生产力促进中心高企服务能力建设,曾涛,承德市生产力促进中心,"围绕提升高新技术企业申报数量，采取强有力措施开展高企培育工作。
1、联合各县区、开发区组建承德市高新技术企业培育指导员工作队伍。
2、开展专利（知识产权）诊断分析、挖掘、转让等服务 。
3、邀请专家指导企业成果转化服务。
4、邀请专家帮助企业归集研发费用，指导高企申报财务工作。
5、大力开展高企等科技政策宣传培训。
6、组织开展高企申报企业科技沙龙等特色服务。
7、面向承德市高新技术企业启动承德市科技大讲堂。",省级,2017
超强筋冬小麦分子育种技术体系的创建,柴建芳,河北省农林科学院生物技术与食品科学研究所,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 16px;""><span style=""font-family: 宋体;""></span>随着人们生活水平的提高，对优质强筋小麦的需求量日益增加，但由于国内生产量明显不足，进口依赖严重，急需培育更多性能可与进口小麦媲美的超强筋冬小麦新品种。国外研究表明，小麦高分子量麦谷蛋白亚基组合2<sup>*</sup>/7<sup>OE</sup>+8<sup>*</sup>/5+10比我国强筋冬小麦品种中出现最多的1/7+8(或7+9)/5+10亚基组合筋力更强，只是在我国强筋冬小麦育种中尚未被有效利用。津强1号是从加拿大引进春小麦材料中选育的一个矮杆突变体，含有2<sup>*</sup>/7<sup>OE</sup>+8<sup>*</sup>/5+10优质亚基组合，虽然该品种为1B/1R易位系,但仍具有超强筋特性。本研究将以津强1号为供体亲本与当地抗寒性强、具有不同低分子量麦谷蛋白亚基组成并且不是1B/1R易位的冬小麦材料杂交，利用已有和新开发的优质亚基基因的分子标记并结合温室加代技术对杂交后代进行筛选，把2<sup>*</sup>、7<sup>OE</sup>+8<sup>*</sup>和5+10优质亚基基因快速聚合到农艺性状优良的冬小麦背景下，然后再通过对入选的高代品系进行低分子量麦谷蛋白亚基组成的测定和加工品质的测定，建立国内领先的超强筋冬小麦高效分子育种技术体系,为加速我国超强筋冬小麦新品种的培育和彻底解决1B/1R易位系加工品质差的问题提供技术方案。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 16px; font-family: 宋体;""></span><span style=""font-size: 16px;""></span><br></p>",省级,2020
基于大数据与物联网技术的违法停车智能交通执法平台的研发,柴旭光,邢台职业技术学院,"    “智能交通”，在智慧城市建设热潮下，智能交通是其建设的分支部分，也是未来交通系统的发展方向，它是将先进的信息技术、数据通讯传输技术、电子传感技术、控制技术及计算机技术等有效地集成运用于整个地面交通管理系统而建立的一种在大范围内、全方位发挥作用的，实时、准确、高效的综合交通运输管理系统。
    随着我国人民生活水平的提高，城市机动车的数量也飞速增加。经济发展的同时也带来一些社会问题。如违法停放机动车，占用盲道和公共用地，就给其他车辆或行人的出行带来了不便甚至安全上的隐患。及时准确的对违法车辆做出处理对于规范停车秩序会起到极为重要的作用。目前，对于违法停放的机动车,城市管理部门的执法流程基本全部手工完成，工作量大，效率低下，且在取证和录入过程中容易出现纰漏。
    因此为了解决这个问题，为智能交通城市的建设提供依托，本项目主要通过对物联网技术与大数据技术的深入研究，研发基于物联网技术与大数据技术的违法停车智能交通执法平台，该平台可以借助物联网和大数据的技术，为执法部门提供智能化办公平台，不仅提高了执法部门的执法效率，也为建设智能交通城市提供了依托。",省级,2018
高粱耐盐、优质基因的克隆与分子标记的开发及育种应用,常金华,河北农业大学,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p><p style=""margin: 0px; text-indent: 0px; font-size: 16px; font-family: 宋体, SimSun;""><span style=""font-size: 16px; letter-spacing: 0px; text-decoration: none; font-family: 宋体, SimSun;"">盐害是制约高粱发展的主要环境因子之一，而优质专用抗逆是现代高粱育种的重要目标，单宁含量则是影响高粱品质及用途的主要遗传因素。高粱耐盐性和单宁含量均受多个基因控制。传统育种中，主要利用表型作为选择优良基因型的基础，对于遗传复杂的性状，关系到基因型与环境互作，单纯依据表型选择耗时、费力且收效甚微，有必要开发高效的选择标记来规避表型选择的缺陷，创新育种技术。<span style=""font-family: 宋体, SimSun;"">基于DNA的分子标记进行目标基因的鉴定和定位，可对目标性状进行有效的间接选择而不受环境影响，可大大提高选择效率和加速育种进程。<span style=""font-family: 宋体, SimSun;"">对控制重要性状基因的鉴定、克隆、遗传效应和功能分析等研究是分子设计育种，快速实现优良基因聚合的基础，是现代育种技术的重要前提。目前在高粱中虽定位和克隆了一些基因，但还远未能满足分子育种的需要，尤其在耐盐和品质育种中缺乏有效的标记。</span></span></span></p><p style=""margin: 0px; text-indent: 0px; font-size: 16px; font-family: 宋体, SimSun;""><span style=""letter-spacing: 0px; text-decoration: none; font-size: 16px; font-family: 宋体, SimSun;"">本研究前期获得了4个与高粱耐盐及单宁合成相关的基因，通过BSA测序分析获得了耐盐相关基因的DNA区间，在此基础上利用多组学技术，进一步分离这些基因并验证基因的功能，开发用于标记辅助选择的分子标记，创新高粱育种技术，为高粱耐盐优质育种提供基因资源，创新高粱种质资源，培育耐盐、优质高粱新品种。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 14px; font-family: 宋体; text-decoration: none;""></span><br></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><br></p>",省级,2020
一种仿真丝聚乳酸纤维的研发应用,常旭光,河北烨和祥新材料科技有限公司,"      本项目建于河北省冀州市经济开发区，建设期从2016年2月起至2017年7月止，现已完全竣工，总用地面积150亩，新建纺丝车间、加弹及牵伸车间、原料库、成品库、变电站及配套公用设施，总建筑面积100660平方米，新上纺丝位、卷绕机、加弹机、空压机、制冷机、螺杆挤压机等生产及辅助设备506台（套），建设聚乳酸纤维及聚乳酸复合纤维生产线，形成年产2万吨生物基聚乳酸纤维及3万吨聚乳酸复合（皮芯）纤维的生产规模。
    项目总投资58500万元，年销售收入132300万元，年均利润总额可达17507.47万元，年均缴纳所得税4376.87万元。该项目在经济上是可行的，具有较强的抗风险能力，项目建成后具有显著的社会效益和环境效益。
    项目产品可用作服装面料、家用装设材料、卫生材料、非织造布、内饰材料等。市场前景广阔，能够满足河北省及国内企业对聚乳酸纤维的需求。
    我公司发明创造出的仿真丝聚乳酸纤维涉及高分子化合物技术领域，既具有真丝的优良性能，又能克服真丝材料的某些缺点，同时还能解决现有化学合成纤维仿真丝技术带来的环境污染等问题。
  ",省级,2018
可配置多功能射频源,常迎辉,中国电子科技集团公司第五十四研究所,"多功能可配置射频源项目立足于通信和导航系统，致力于提供产品化的射频源实现方案。射频信号模拟源将适配多种通信体制和卫星导航系统的信号体制，如BPSK、QPSK、直接序列扩频，北斗/GPS卫星导航系统，提供各系统常见频点的仿真功能，具备多种通用场景的测试模式，如静止、动态运动模式等，并能向用户提供测试场景定制功能，以满足特殊行业的测试验证需求。
多功能可配置射频源项目致力提供于产品化的、低成本的产品方案，软硬件采用模块化设计，使各模块能够独立的完成工作，方便替换以保证可维修性和扩展性，保障产品的稳定性和复制性。统一制定各模块之间的通信及交互接口，为设备的升级提供良好的技术支撑。在产品使用形式上，配备良好的人际交互接口，使产品达到开箱即用的使用效果，提升用户体验度，增强市场竞争力。",省级,2018
抗逆优质牧草冰草种质创新与新品种选育,车永和,河北科技师范学院,      申请项目利用本研究团队收集和常年种植的冰草属5个种的400多个居群，及利用我国特有物种蒙古冰草A. mongolicum与冰草属典型物种二倍体冰草A. cristatum种间杂交得到的F1代杂种300多个株系和由种间杂种F1代衍生F2代1600多个单株(系)，通过传统育种方法和现代分子辅助育种手段相结合，系统评价自然居群、杂种F1和杂种F2代材料，选择和创新利用优异材料。通过对自然居群中优异材料进行选择育种，选育抗逆优质居群和单株；对F1代中具有较强杂种优势材料通过分蘖无性繁殖进一步评价利用；对自然居群和F1代中优异二倍体材料进行诱变多倍体育种创新冰草种质；根据育种目标选择多个优异单株及利用多个优良无性系组配进行开放授粉培育品种，聚合高产、抗病、抗逆、优质等优异基因。根据饲草的生物学特性、产量、品质和利用目的，及不同生态环境条件等，研究选育饲用冰草新品种。针对新品种特性研究制定丰产优质绿色栽培技术，并将新品种新技术进一步应用示范推广。通过研究选育1-3个抗逆优质冰草新品种，新品种新技术推广应用能一定程度缓解生产饲草良种匮乏问题，长远有利于饲草业和生态环境的良性发展。申请项目基于扎实的工作基础和独特的资源优势，取得成果比较而言将在国际上具有领先性。,省级,2019
